单词,音标,中文解释,是否为初中单词
noodle,ˈnu:dl,n. 面条；笨蛋,True
noon,nu:n,n. 中午；正午；全盛期,True
northeast,.nɒ:θ'i:st,"adj. 东北的；向东北的；来自东北的
n. 东北
adv. 向东北；来自东北",True
northwest,'nɔ:θ'west,"adj. 西北的；向西北的；来自西北的
n. 西北
adv. 在西北；向西北；来自西北",True
nose,nəʊz,"n. 鼻子；嗅觉；突出的部分；探问
v. 嗅；用鼻子触",True
not,nɒt,"adv. 表示否定，不
n. “非”（计算机中逻辑运算的一种）",True
note,nəʊt,"n. 笔记；音符；票据；注解；纸币；便笺；照会；调子
v. 注意；记录；注解",True
notebook,ˈnəʊtbʊk,n. 笔记本，笔记簿；手册,True
nothing,ˈnʌθɪŋ,"neg. 没什么；毫不
n. 无；零；不关紧要之事
adv. 毫不；决不
pron. 无事；无物
int. 什么也没有",True
notice,ˈnəʊtɪs,"v.  注意到， 察觉到
n. 通知，布告；辞职通告；注意，察觉",True
novel,ˈnɒvl,"n. 小说；长篇故事
adj. 新奇的；异常的",True
November,nəʊ'vembə(r),n. 十一月(略作Nov),True
now,naʊ,"adv. 现在；如今；立刻
adj. 现在的
n. 现在；目前
conj. 由于；既然",True
number,ˈnʌmbə(r),"n. 数；（杂志等的）期；号码；数字；算术
v. 计入；总数达到",True
nurse,nɜ:s,"v. 看护，护理；照顾；培养；给…喂奶
n. 护士；奶妈，保姆",True
October,ɒk'tәubә,n. 十月(略作Oct),True
of,əv,prep.  …的； 由…制成的； 含有…的， 装有…的,True
off,ɒf,adv.  距， 离， 到； 离开； 出发， 起跑； 不发生， 取消； 断开， 不供,True
offer,ˈɒfə(r),"n. 提供，提供物；提议；报价，开价，出价
vt.  给予， 提供， 提出； 表示愿意； 提议",True
office,ˈɒfɪs,n.  办公室， 办事处， 营业所； 处， 所， 局； 公职， 官职， 职责； 帮忙， 服务,True
officer,ˈɒfɪsə(r),"n. 军官，警官；公务员，政府官员；船长
v. 指挥",True
often,ˈɒfn,adv.  常常， 经常,True
oh,əʊ,int. 哦；哎呀（表示惊讶或恐惧等）,True
oil,ɔɪl,"v.  给…加润滑油； 使涂满油
n. 油；润滑油；石油，燃料油；油画；油画颜料",True
OK,'әu'kei,"adj. 好的；不错的
adv. 行；很好
int. 好；可以
v. 对…表示同意
n. 同意",True
old,əʊld,adj.  老的， 年老的； 古老的， 陈旧的， 过时的； …岁的， …久的； 以前的， 过去,True
on,ɒn,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中
n. (On)人名；(日)温(姓、名)；(缅、柬、印)翁",True
once,wʌns,"adv. 一次，一回
conjunction. 一…便，一旦，一经",True
one,wʌn,"pron. 一个人；任何人
adj. 一的；唯一的
n. 一
num. 一；一个",True
only,ˈəʊnli,"adv. 只，仅仅；不料
adj. 唯一的，仅有的；最合适的
conj. 但是；不过；可是",True
onto,ˈɒntə,"prep. 在…之上；对…了解；映射到…上
adj. 映射的；自身的；映成的",True
open,ˈəʊpən,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
v. 开始；展现
n. 公开；空旷；户外",True
opera,ˈɒprə,n. 歌剧；歌剧院；歌剧团,True
operation,ˌɒpəˈreɪʃn,n.  操作， 运转； 经营； 作用； 行动， 活动； 手术； 运算,True
opinion,əˈpɪnjən,n. 意见；看法；主张,True
opposite,ˈɒpəzɪt,"prep. 在…的对面
adj. 对立的，截然相反的，完全不同的
n. 相反的人[事物]，对立物
adv. 在对面",True
or,ɔ:(r),"conj. 或，或者；还是
n. (Or)人名；(中)柯(广东话·威妥玛)；(柬)奥；(土、匈、土库、阿塞、瑞典)奥尔",True
orange,ˈɒrɪndʒ,"adj.  橙色的
n. 橙，柑，橘；橙汁，橘汁",True
order,ˈɔ:də(r),"v.  命令， 嘱咐； 定购， 定做； 叫； 整理， 安排
n. 次序，顺序；整齐，有条理，正常状况；治安，秩序；命令，嘱咐；订购，订货；种类；汇票，汇单",True
other,ˈʌðə(r),adj.  别的， 其他的， 另外的； 另一的， 其余的,True
ouch,aʊtʃ,"n. 扣环
int. 哎哟（突然疼痛时发出的声音）",True
our,ɑ:(r),pron.  我们的,True
ours,ˈaʊəz,"pron. 我们的
n. (Ours)人名；(法)乌尔斯",True
ourselves,ɑ:ˈselvz,pron. 我们自己（we的反身代词）,True
out,aʊt,"adv. 出现；在外；出局；出声地；不流行地
adj. 外面的；出局的；下台的
n. 出局
prep. 向；离去
v. 出来；暴露",True
outside,ˌaʊtˈsaɪd,"adj. 外面的，外部的；外来的
n. 外部；外观
adv. 在外面，向外面；在室外
prep. 在…范围之外",True
over,ˈəʊvə(r),"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过
n. (Over)人名；(俄、西、土)奥韦尔",True
own,əʊn,"v. 拥有；承认
adj. 自己的；特有的
n. 自己的",True
page,peɪdʒ,"n. 页；记录；大事件，时期；男侍者
v. 给…标页码",True
pain,peɪn,"v.  使痛苦
n. 痛，疼痛；痛苦，悲痛；",True
paint,peɪnt,"v. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰",True
painting,ˈpeɪntɪŋ,"n. 绘画；油画；着色
v. 绘画（paint的ing形式）；涂色于",True
pair,peə(r),"v.  成对， 配对
n. 一双，一对，一副；一对夫妇，一对情侣",True
palace,ˈpæləs,n.  宫， 宫殿； 豪华住宅； 豪华娱乐场所,True
pale,peɪl,"vi.  变得苍白， 变得暗淡
adj. 苍白的；淡色的；暗淡的，微弱的",True
pancake,ˈpænkeɪk,"n. 薄烤饼；粉饼；平降（全称pancake landing）
vi. 平坠着陆；平展
vt. 使平坠著陆；使平展",True
panda,ˈpændə,n. 熊猫；猫熊,True
paper,ˈpeɪpə(r),"adj. 纸质的，纸板的
n. 纸，墙纸；报纸；文件；文章，论文；书面作业，考卷；票据
vt.  用墙纸裱糊",True
pardon,ˈpɑ:dn,"interjection. 请重复一遍，请再说一遍〔没听清对方的话希望重复一遍时的用语〕
v. 赦免
n. 赦免令，赦免状",True
parent,ˈpeərənt,"n. 父母,母亲;(pl.)双亲;父母",True
park,pɑ:k,"n. 公园；[交] 停车场
v. 停放；放置；寄存",True
part,pɑ:t,"n. 部分；角色；零件；一些；片段
v. 分离；分配；分开
adv. 部分地
adj. 部分的",True
party,ˈpɑ:ti,"n. 政党，党派；聚会，派对；当事人 [复数 parties]
v. 参加社交聚会 [ 过去式 partied 过去分词 partied 现在分词 partying ]",True
pass,pɑ:s,"n. 及格；经过；护照；途径；传球
v. 经过；传递；变化；终止",True
passenger,ˈpæsɪndʒə(r),n. 旅客；乘客；过路人；碍手碍脚的人,True
passport,ˈpɑ:spɔ:t,n.  护照； 途径， 路子， 手段,True
past,pɑ:st,"adj. 以前的，过去的；结束了的，不复存在的
prep. 晚于，在…之后
n.  昔日，",True
path,pɑ:θ,n.  小路， 小径； 路线， 途径， 路径,True
patient,ˈpeɪʃnt,"adj. 有耐心的，能忍耐的
n.  病人， 患者",True
pay,peɪ,"v. 支付，付；偿还，补偿；给予
n. 工资，薪水；付款；报答
adj. 收费的；需付费的",True
peace,pi:s,n.  和平， 和睦； 平静， 安宁， 安静,True
pen,pen,"n. 钢笔；作家；围栏
v. 写；关入栏中",True
pencil,ˈpensl,"n. 铅笔；笔状物
v. 用铅笔写；用眉笔涂",True
people,ˈpi:pl,n.  人， 人们； 人民， 民众， 平民； 国民； 民族,True
perfect,ˈpɜ:fɪkt,"adj.  完美的， 理想的； 完全的， 十足的
vt.  使完美， 使熟练",True
perhaps,pəˈhæps,"adv. 或许；（表示不确定）也许；（用于粗略的估计）或许；（表示勉强同意或其实不赞成）也许；可能
n. 假定；猜想；未定之事",True
period,ˈpɪəriəd,n.  一段时间， 时期， 时代； 学时， 课时； 周期， 期间； 句号， 句点,True
person,ˈpɜ:sn,n. 人；身体；容貌，外表；人称,True
personal,ˈpɜ:sənl,adj.  个人的， 私人的； 针对个人的， 有关私人的， 涉及隐私的； 亲自的； 本人的； 身体的， 外貌的,True
pet,pet,"n. 宠物；生气；受宠爱的人
v. 宠爱
adj. 宠爱的",True
physical,ˈfɪzɪkl,"adj. [物] 物理的；身体的；物质的；根据自然规律的，符合自然法则的
n. 体格检查",True
physics,ˈfɪzɪks,n. 物理学；物理现象,True
piano,piˈænəʊ,n. 钢琴,True
pick,pɪk,"v. 挑选；采摘；挖
n. 选择；鹤嘴锄；挖；掩护",True
picnic,ˈpɪknɪk,"v.  [picnicked-picnicked, picnicking] 去野餐
n. 野餐",True
picture,ˈpɪktʃə(r),n.  画， 图片， 照片； 描绘； 电影； 头脑中的情景， 印象 v,True
pie,paɪ,"n. 馅饼；饼图；爱说话的人
vt. 使杂乱",True
piece,pi:s,"v.  拼凑， 拼合
n. 块，片，段，件；断片，碎块；一件，一张",True
pig,pɪg,"n. 猪；猪肉
v. 生小猪；像猪一样过活",True
pilot,ˈpaɪlət,"adj. 试验性的
n. 飞行员，领航员；领导人
vt.  驾驶， 领航； 试行， 试用； 使通过， 引导",True
pioneer,ˌpaɪəˈnɪə(r),"vt. 开拓，开创
n.  开拓者， 创始人",True
pity,ˈpɪti,"n. 怜悯，同情；遗憾
v. 对……表示怜悯；对……感到同情",True
place,pleɪs,n.  地方， 地点， 场所； 住所， 寓所； 地位； 资格； 名次， 等级,True
plan,plæn,"v.  计划， 给…制订计划
n. 计划，打算；方法；平面图，示意图，设计图",True
plane,pleɪn,"n. 飞机；平面；程度，水平
v. 刨；乘飞机旅行；翱翔
adj. 平的；平面的",True
planet,ˈplænɪt,n.  行星,True
plant,plɑ:nt,"v.  种， 植， 播种； 放置， 安插
n. 作物，植物；工厂；间谍，密探",True
plastic,ˈplæstɪk,"adj. 塑料的， 塑胶的；可塑的， 塑性的
n. 塑料； 塑料制品 <",True
platform,ˈplætfɔ:m,n.  台， 平台， 讲台； 站台， 月台； 纲领， 宣言,True
play,pleɪ,v.  玩， 游戏； 演奏， 播放； 扮演， 演出； 参加， 打,True
player,ˈpleɪə(r),n. 运动员，比赛者；游戏者，做游戏的人；演奏者，表演者；演员；播放器,True
playground,ˈpleɪgraʊnd,n. 运动场，操场；游乐场,True
please,pli:z,"v.  使愉快， 使高兴； 使满意， 合…的心意
int. 请",True
pleased,pli:zd,"adj. 高兴的；喜欢的；乐意做某事
v. 满意；愿意（please的过去分词形式）",True
pleasure,ˈpleʒə(r),"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐",True
plenty,ˈplenti,"adv.  足够地， 充分地； 很多， 非常
adj. 充裕的，充分的，足够的
n. 许多，大量；充足，充分，丰富；繁荣",True
pocket,ˈpɒkɪt,"n. 口袋；钱；容器
v. 隐藏；忍受；将…放入衣袋
adj. 小型的，袖珍的；金钱上的",True
poem,ˈpəʊɪm,n. 诗，韵文，诗体文,True
point,pɔɪnt,"v.  指， 指向； 表明； 瞄准
n.  尖， 尖端； 点， 小数点； 条款， 细目； 分数， 得分； 要点， 论点， 观点",True
police,pəˈli:s,"n. 警察，警方；治安
v. 监督；管辖；维持治安；为…配备警察
adj. 警察的；有关警察的",True
policeman,pəˈli:smən,n. 警察，警员；[分化] 淀帚（橡皮头玻璃搅棒）,True
policy,ˈpɒləsi,n.  政策， 方针； 原则； 保险单,True
polite,pəˈlaɪt,adj.  有礼貌的， 客气的； 有教养的， 文雅的,True
pollute,pəˈlu:t,vt.  弄脏， 污染； 玷污， 败坏,True
pollution,pəˈlu:ʃn,n.  污染， 污染物； 玷污,True
pool,pu:l,"n. 联营；撞球；水塘；共同资金
v. 联营，合伙经营",True
poor,pʊə(r),"adj. 贫穷的；可怜的；贫乏的；卑鄙的
n. (Poor)人名；(英、伊朗)普尔",True
popular,ˈpɒpjələ(r),adj. 流行的，通俗的；受欢迎的；大众的；普及的,True
population,ˌpɒpjuˈleɪʃn,n. 人口；[生物] 种群，[生物] 群体；全体居民,True
possible,ˈpɒsəbl,"adj. 可能的；合理的；合适的
n. 可能性；合适的人；可能的事物",True
post,pəʊst,"v.  投寄， 邮寄； 贴出； 宣布， 公布
n. 邮政，邮件，邮寄；柱，标杆；职位，岗位；公告",True
postcard,ˈpəʊstkɑ:d,n.  明信片,True
postman,ˈpəʊstmən,n. 邮递员；邮差,True
potato,pəˈteɪtəʊ,n. [作物] 土豆，[作物] 马铃薯,True
pound,paʊnd,"n. 英镑；重击，重击声；兽栏；拘留所
v. 捣烂；敲打；监禁，拘留",True
power,ˈpaʊə(r),"n. 力量，能力；电力，功率；政权，势力；[数] 幂
v. 激励；供以动力；使…有力量
adj. 借影响有权势人物以操纵权力的",True
powerful,ˈpaʊəfl,adj.  有力的； 强大的； 有权力的； 强壮的， 强健的,True
practice,ˈpræktɪs,n.  练习； 实行， 实施； 业务， 开业； 惯例,True
prefer,prɪˈfɜ:(r),v. 更喜欢；选择某事物（而不选择其他事物）,True
prepare,prɪˈpeə(r),v. 准备；使适合；装备；起草,True
present,ˈpreznt,"v. 提出；介绍；呈现；赠送
adj. 现在的；出席的
n. 现在；礼物；瞄准",True
president,ˈprezɪdənt,n.  总统， 主席； 总裁； 校长， 院长； 会长， 董事长， 社长， 主席,True
pretty,ˈprɪti,"adj. 漂亮的；可爱的；优美的
adv. 相当地；颇
n. 有吸引力的事物（尤指饰品）；漂亮的人",True
price,praɪs,"n. 价格；价值；代价
v. 给……定价；问……的价格",True
pride,praɪd,n.  自豪， 骄傲； 引以为傲的人或物； 自尊， 自尊心； 自负； 傲慢,True
primary,ˈpraɪməri,adj.  首要的， 主要的； 基本的； 最初的， 初级的,True
print,prɪnt,"v. 印，铭刻，打上；印刷；出版；用印刷体写
n.  印痕， 印迹； 印刷， 印刷术， 印刷业， 印刷品； 印刷字体； 图片， 版画， 照片",True
printing,ˈprɪntɪŋ,n. 印刷；印刷术,True
private,ˈpraɪvət,"adj. 私人的，个人的；秘密的，私下的；私立的，私营的
n.  士兵， 列兵",True
prize,praɪz,"adj. 第一流的，了不起的
n. 奖赏，奖金，奖品；值得追求的东西
vt.  珍惜， 珍藏； 给…很高的评价",True
probably,ˈprɒbəbli,adv.  大概， 或许， 很可能,True
problem,ˈprɒbləm,n.  问题， 疑难问题， 需认真对付的困难； 习题， 几何作图题,True
produce,prəˈdju:s,"n. 产品，农产品
vt.  生产， 制造， 产生； 引起， 招致； 上演， 上映",True
product,ˈprɒdʌkt,n. 产品；结果；[数] 乘积；作品,True
programme,ˈprəʊgræm,"n. 计划，规划；节目；程序
v. 编程序；制作节目",True
progress,ˈprəʊgres,"vi.  前进， 行进； 进步， 提高
n.  前进， 进展； 进步， 发展",True
project,ˈprɒdʒekt,"vi.  伸出， 突出
n.  方案， 计划； 工程， 课题， 项目
vt. 投掷，发射；放映；设计，规划；突出，使凸出，使伸出",True
promise,ˈprɒmɪs,"v. 允诺，答应；有…可能，有希望
n.  承诺， 诺言； 可能性， 希望",True
pronounce,prəˈnaʊns,"vi.  表态
vt. 发…的音；宣布，宣称，断言",True
pronunciation,prəˌnʌnsiˈeɪʃn,"n. 发音,发音方法",True
proper,ˈprɒpə(r),"adj. 适当的；本身的；特有的；正派的
adv. 完全地
n. (Proper)人名；(英、德)普罗珀",True
properly,ˈprɒpəli,adv. 适当地；正确地；恰当地,True
protect,prəˈtekt,"v. (from)保护,保卫",True
proud,praʊd,"adj. 自豪的；得意的；自负的
n. (Proud)人名；(英)普劳德",True
provide,prəˈvaɪd,"v. 供应,供给,准备,预防,规定",True
public,ˈpʌblɪk,"adj. 公众的；政府的；公用的；公立的
n. 公众；社会；公共场所",True
pull,pʊl,"v. 拉，拖，拔；移动
n.  拉， 拖； 拉力， 牵引力， 引力",True
punish,ˈpʌnɪʃ,v. 惩罚；严厉对待；贪婪地吃喝,True
pupil,ˈpju:pl,n. 学生；[解剖] 瞳孔；未成年人,True
purple,ˈpɜ:pl,"adj. 紫色的；帝王的；华而不实的
n. 紫色；紫袍
v. 变成紫色",True
purpose,ˈpɜ:pəs,"v.  打算， 企图， 决心
n. 目的，意图；用途，效果",True
push,pʊʃ,"v. 推动，增加；对…施加压力，逼迫；按；说服
n. 推，决心；大规模攻势；矢志的追求",True
put,pʊt,"v.  [put-put, putting] 放， 摆， 使处于； 说， 表达； 提出， 提交； 记下，",True
quarter,ˈkwɔ:tə(r),"n. 四分之一；地区；季度；一刻钟；两角五分；节
v. 住宿；驻扎
num. 四分之一",True
queen,kwi:n,"n. 女王，王后；（纸牌中的）皇后；（蜜蜂等的）蜂王
v. 使…成为女王或王后",True
question,ˈkwestʃən,"n. 问题；议题；待解决的问题，需讨论的问题；难题；疑问，不确定
vt.  询问， 审问； 怀疑， 对…表示疑问",True
quiet,ˈkwaɪət,"adj. 安静的；安定的；不动的；温顺的
n. 安静；和平
v. 使平息；安慰",True
quite,kwaɪt,adv.  相当， 颇； 实际上， 真正地； 完全， 十分,True
rabbit,ˈræbɪt,"n. 兔子，野兔
v. 让…见鬼去吧",True
race,reɪs,"n. 属，种；种族，人种；家庭，门第
v. 使参加比赛；和…竞赛；使急走，使全速行进",True
radio,ˈreɪdiəʊ,"v.  用无线电传送
n. 收音机，无线电设备；无线电，无线电传送，无线电广播；无线电广播台",True
railway,ˈreɪlweɪ,"n. （英）铁路；轨道；铁道部门
vi. 乘火车旅行",True
rain,reɪn,"n. 雨；下雨；雨天；雨季
v. 下雨；降雨",True
rainy,ˈreɪni,"adj. 下雨的；多雨的
n. (Rainy)人名；(英)雷尼",True
raise,reɪz,"v.  增加； 获得； 提出； 举起， 提升； 筹集， 征集； 唤起， 引起； 养育； 种植
n. 涨薪水；增加",True
rapid,ˈræpɪd,"adj. 迅速的，急促的；飞快的；险峻的
n. 急流；高速交通工具，高速交通网",True
reach,ri:tʃ,v.  抵达； 达到； 延伸到； 伸出； 够到； 与…取得联系； 达成,True
read,ri:d,v.  [read-read]　读， 阅读； 朗读， 宣读； 读懂； 观,True
ready,ˈredi,"adj. 准备好；现成的；迅速的；情愿的；快要…的
n. 现款；预备好的状态
adv. 迅速地；预先
v. 使准备好",True
real,ˈri:əl,"adj. 实际的；真实的；实在的
adv. 真正地；确实地
n. 现实；实数",True
realise,"'riәlaiz,'ri:-",vt.  认识到， 了解； 实现,True
reason,ˈri:zn,"vi.  推论， 推理； 劝说
n. 理由，原因；理性，判断力；理智，清醒的头脑；道理，情理
vt. 论证，推断，分析；与…评理，劝说",True
receive,rɪˈsi:v,vt.  收到， 接到， 领到； 接受， 得到； 接待， 接见， 欢迎； 遭受， 受到， 遭到,True
record,ˈrekɔ:d,"adj.  创纪录的， 空前的
n. 记录，记载，报告；经历，履历，历史；最高纪录，最好成绩；唱片
vt.  记录， 记载， 登记； 录音， 录影， 录下",True
recycle,ˌri:ˈsaɪkl,"v. 使再循环；使…重新利用
n. 再生；再循环；重复利用",True
red,red,"n. 红色，红颜料；赤字
adj. 红色的；红肿的，充血的",True
reduce,rɪˈdju:s,v. 减少；降低；使处于；把…分解,True
refuse,rɪˈfju:z,"v.  拒绝， 谢绝； 拒不， 不肯， 不愿
n.  废料， 垃圾",True
regret,rɪˈgret,"n&v.  [regretted-regretted, regretting] 懊悔； 遗憾， 抱歉",True
relationship,rɪˈleɪʃnʃɪp,n. 关系；交往；血缘关系,True
relative,ˈrelətɪv,"adj. 相对的；有关系的；成比例的
n. 亲戚；相关物；[语] 关系词；亲缘植物",True
relax,rɪˈlæks,v. 放松，休息；松懈，松弛；变从容；休养,True
remain,rɪˈmeɪn,"v. 保持；依然；留下；剩余；逗留；残存
n. 遗迹；剩余物，残骸",True
remember,rɪˈmembə(r),"v. 记住;(to)转达问候,代…致意,代…问好",True
repair,rɪˈpeə(r),"v.  修理， 修补； 弥补， 补救
n. 修理，修补；维修状态，保养情况",True
repeat,rɪˈpi:t,"v. 重复；复制；背诵
n. 重复；副本",True
replace,rɪˈpleɪs,v. 取代，代替；替换，更换；归还，偿还；把…放回原处,True
reply,rɪˈplaɪ,"v. 回答；[法] 答辩；回击
n. 回答；[法] 答辩",True
report,rɪˈpɔ:t,"vi.  报到； 报告， 汇报； 报道； 隶属， 对负责
n. 报告，汇报；报道；名誉；传说，传闻
vt. 报告，汇报；报道；告发",True
require,rɪˈkwaɪə(r),vt.  需要； 命令； 规定， 要求,True
research,rɪˈsɜ:tʃ,"n. 研究，调查；研究；探索
v. 研究；探索",True
rest,rest,"v.  休息， 睡眠；
n. 剩余部分，其余的人；休息；停止，静止；撑架，支座",True
restaurant,ˈrestrɒnt,n. 餐馆；[经] 饭店,True
result,rɪˈzʌlt,"vi.  产生， 发生； 结果， 终归， 终结
n. 结果，效果，成果；成绩，比分；计算结果，答案",True
return,rɪˈtɜ:n,"v. 返回，回来；回复，回应；退回；回报
n.  返回， 回来； 偿还， 归还； 恢复； 回",True
reuse,ˌri:ˈju:z,"n. 重新使用，再用
v. 再使用",True
review,rɪˈvju:,n&v.  审查， 复查； 复习， 温习， 回顾； 评论； 检阅,True
rice,raɪs,"n. 稻；米饭
v. 把…捣成米糊状",True
rich,rɪtʃ,"adj. 富有的；肥沃的；昂贵的
n. (Rich)人名；(丹)里克；(捷)里赫；(英、西)里奇；(葡、法)里什",True
ride,raɪd,"v. 骑马；乘车；依靠；漂浮
n. 骑；乘坐；交通工具；可供骑行的路；（乘坐汽车等的）旅行；乘骑；（乘车或骑车的）短途旅程；供乘骑的游乐设施",True
right,raɪt,"adj. 正确的；直接的；右方的
v. 复正；恢复平稳
n. 正确；右边；正义
adv. 正确地；恰当地；彻底地",True
ring,rɪŋ,n.  戒指； 环， 圆圈； 铃声； 电话； 团伙， 帮派； 拳击台， 摔跤台， 马戏场,True
rise,raɪz,"vi. 上升，上涨；升起；站起，起床；增强，增加；反抗
n.  上涨， 增加， 升高； 兴起， 升高； 加薪； 岗， 高地， 高坡",True
risk,rɪsk,"v.  冒…的危险， 使遭受危险
n. 危险，风险；引起危险的事物；冒险",True
river,ˈrɪvə(r),n.  河流， 江， 川,True
road,rəʊd,"n. 公路，马路；道路；手段
vt. （狗）沿臭迹追逐（猎物）
adj. （美）巡回的",True
robot,ˈrəʊbɒt,n. 机器人；遥控设备，自动机械；机械般工作的人,True
rock,rɒk,"n. 岩石；摇滚乐；暗礁
v. 摇动；使摇晃",True
role,rəʊl,n.  作用； 职责； 角色； 任务,True
room,ru:m,"n. 房间；空间；余地；机会；房间里所有的人
v. 为…提供住处；租房，合住；投宿，住宿；留…住宿",True
rope,rəʊp,"v.  用绳捆
n. 绳索，线缆",True
rose,rəʊz,"n. 玫瑰；粉红色；蔷薇（花）；粉红色的葡萄酒
adj. 玫瑰花的；玫瑰色的；粉红色的；带有玫瑰香味的
vt. 使成玫瑰色，使（面颊）发红；使有玫瑰香味
vi. 起义( rise的过去式)；升起；（数量）增加；休会",True
round,raʊnd,"n. 圆；循环；一回合；圆形物
adj. 圆的；完全的；大概的；肥胖的
adv. 在周围；迂回地；朝反方向；挨个
v. 完成；围捕；绕行；弄圆
prep. 附近；绕过；大约；在…周围",True
row,rəʊ,"n. 行，排；划船；街道；吵闹
v. 划船；使……成排",True
rubber,ˈrʌbə(r),"n. 橡胶；橡皮；合成橡胶；按摩师
adj. 橡胶制成的
v. 涂橡胶于；用橡胶制造",True
rubbish,ˈrʌbɪʃ,"n. 垃圾，废物；废话
adj. 毫无价值的",True
rude,ru:d,"adj. 粗鲁的；无礼的；狂暴的；未开化的
n. (Rude)人名；(英、西、瑞典)鲁德；(法)吕德",True
rule,ru:l,"v.  统治， 控制， 支配； 裁决
n. 统治，管辖；规则，规章，条例，规定，规章制度；习惯，惯例；惯常的事",True
ruler,ˈru:lə(r),n. 尺；统治者；[测] 划线板，划线的人,True
run,rʌn,"vi. 跑；行驶；伸展，延展；进行，运转，运行；竞选；流，淌；延续，连续；变成，变得
vt. 使滑动，使移动；经营，管理；开动，操作；载送，运送
n.  跑步， 奔跑； 路程， 行程， 航程； 运行； 一连串， 连续",True
rush,rʌʃ,"n. 冲进；匆促；急流；灯心草
adj. 急需的
v. 使冲；突袭；匆忙地做；飞跃",True
Russia,'rʌʃә,n.  俄国， 俄罗斯,True
Russian,'rʌʃәn,"adj. 俄国的；俄语的
n. 俄语；俄国人",True
sad,sæd,adj. 难过的；悲哀的，令人悲痛的；凄惨的，阴郁的（形容颜色）,True
safe,seɪf,"adj.  安全的， 平安的； 牢靠的， 可靠的； 谨慎的， 稳健的
n. 保险箱，保险柜",True
sailing,ˈseɪlɪŋ,"n. 航行，航海；启航；航海术
adj. 航行的
v. 航行，起航（sail的现在分词形式）",True
salad,ˈsæləd,n. 色拉， 凉拌菜 <,True
sale,seɪl,n.  出售， 上市； 贱卖， 廉价出售； 销售额,True
salt,sɔ:lt,"n. 盐；风趣，刺激性
adj. 咸水的；含盐的，咸味的；盐腌的；猥亵的
v. 用盐腌；给…加盐；将盐撒在道路上使冰或雪融化",True
same,seɪm,"adj. 相同的；同一的；上述的（通常与the连用）；无变化的
pron. 同样的事物或人（通常与the连用）
adv. 同样地（通常与the连用）
n. (Same)人名；(意)萨梅",True
sand,sænd,"n. 沙；沙地；沙洲；沙滩；沙子
v. 撒沙于；以沙掩盖；用砂纸等擦平或磨光某物；使撒沙似地布满；给…掺沙子",True
sandwich,ˈsænwɪtʃ,"v.  把…做成三明治； 夹入， 挤进
n. 三明治，夹肉面包",True
satisfy,ˈsætɪsfaɪ,vt.  满足， 使满意； 使确信， 使弄清楚； 符合， 达到； 清偿， 还清债务,True
Saturday,'sætәdi,n.  星期六,True
sausage,ˈsɒsɪdʒ,n. 香肠；腊肠；装香肠的碎肉,True
save,seɪv,"vi. 储蓄
prep.  除…之外
vt. 救助，搭救；储蓄，积攒；节约，节省，免去；保存",True
say,seɪ,"v. 讲；说明；例如；声称；假设；指明
n. (Say)人名；(土)萨伊；(法、老、柬)赛；(英)塞伊；(匈、罗)绍伊",True
scarf,skɑ:f,"n. 围巾；嵌接，嵌接处；头巾领巾
v. 披嵌接；用围巾围",True
school,sku:l,n.  学校； 学院， 系； 学业， 上课； 学派， 流派,True
schoolbag,'sku:lbæg,n.  书包,True
science,ˈsaɪəns,n. 科学；技术；学科；理科,True
scientist,ˈsaɪəntɪst,n.  科学家,True
scissors,ˈsɪzəz,"n. 剪刀；剪式跳法
v. 剪开；删除（scissor的第三人称单数）",True
score,skɔ:(r),"v. 记录，得分，记分；获胜，成功；给打分，给…评分；刻痕于，画线于；记号，刻痕
n.  得分， 分数， 成绩； 二十； 记号， 刻痕",True
screen,skri:n,"n.  屏幕， 银幕； 遮蔽； 屏风， 帘； 筛子
vt.  掩蔽， 遮蔽； 包庇； 筛选； 放映， 播放",True
sea,si:,n. 海；海洋；；许多；大量（与of连用）,True
search,sɜ:tʃ,"v. 搜寻；调查；探求
n. 搜寻；探究，查究",True
season,ˈsi:zn,"n. 时期；季节；赛季
v. 给…调味；使适应",True
seat,si:t,"v.  使坐下； 供给…座位，
n. 座位，座部；所在地，场所；席位，职位",True
second,ˈsekənd,"n. 秒；第二名；瞬间；二等品
v. 支持
adj. 第二的；次要的；附加的
num. 第二
adv. 第二；其次；居第二位",True
secret,ˈsi:krət,"n. 秘密；秘诀；机密
adj. 秘密的；机密的",True
secretary,ˈsekrətri,n.  秘书； 书记； 部长， 大臣,True
see,si:,v.  [saw-seen] 看， 观看； 参见， 会晤； 领会， 理解； 想象； 把…看作； 发现； 体,True
seem,si:m,"v. 似乎；像是；装作
n. (Seem)人名；(英)西姆",True
seldom,ˈseldəm,adv.  很少， 不常,True
sell,sel,"vi.  卖， 销售
vt. 卖，出售，向…推销；出卖，背叛",True
